yahoo_ticker,uic,symbol,exchange,currency,needs_review
ERIC-B.ST,1388.0,ERICb:xome,SSE,SEK,
VOLV-B.ST,134.0,VOLVb:xome,SSE,SEK,
ATCO-A.ST,103.0,ATCOa:xome,SSE,SEK,
ATCO-B.ST,104.0,ATCOb:xome,SSE,SEK,
INVE-B.ST,113.0,INVEb:xome,SSE,SEK,
SAND.ST,123.0,SAND:xome,SSE,SEK,
SEB-A.ST,124.0,SEBa:xome,SSE,SEK,
SWED-A.ST,23122.0,SWED_A:xome,SSE,SEK,
SHB-A.ST,131.0,SHBa:xome,SSE,SEK,
HM-B.ST,110.0,HMb:xome,SSE,SEK,
ABB.ST,101.0,ABB:xome,SSE,SEK,
ALFA.ST,3154.0,ALFA:xome,SSE,SEK,
ASSA-B.ST,136.0,ASSAb:xome,SSE,SEK,
AZN.ST,102.0,AZN:xome,SSE,SEK,
BOL.ST,3108.0,BOL:xome,SSE,SEK,
ELUX-B.ST,106.0,ELUXb:xome,SSE,SEK,
ESSITY-B.ST,7145178.0,ESSITY_B:xome,SSE,SEK,
EVO.ST,1672814.0,EVO:xome,SSE,SEK,
GETI-B.ST,3109.0,GETIb:xome,SSE,SEK,
HEXA-B.ST,1774.0,HEXAb:xome,SSE,SEK,
NDA-SE.ST,10900572.0,NDA_SE:xome,SSE,SEK,
NIBE-B.ST,1858.0,NIBE_B:xome,SSE,SEK,
SBB-B.ST,6618063.0,SBB_B:xome,SSE,SEK,
SCA-B.ST,130.0,SCAb:xome,SSE,SEK,
SINCH.ST,12063793.0,SINCH:xome,SSE,SEK,
SKA-B.ST,127.0,SKAb:xome,SSE,SEK,
SKF-B.ST,128.0,SKFb:xome,SSE,SEK,
TEL2-B.ST,1655.0,TEL2b:xome,SSE,SEK,
TELIA.ST,3957780.0,TELIA:xome,SSE,SEK,
SAAB-B.ST,1906.0,SAABb:xome,SSE,SEK,
NOVO-B.CO,15629.0,NOVOb:xcse,CSE,DKK,
DSV.CO,3955.0,DSV:xcse,CSE,DKK,
DANSKE.CO,15521.0,DANSKE:xcse,CSE,DKK,
MAERSK-B.CO,6041.0,MAERSKb:xcse,CSE,DKK,
MAERSK-A.CO,6043.0,MAERSKa:xcse,CSE,DKK,
ORSTED.CO,8190802.0,ORSTED:xcse,CSE,DKK,
NSIS-B.CO,40846885.0,NSIS_B:xcse,CSE,DKK,
VWS.CO,15611.0,VWS:xcse,CSE,DKK,
CARL-B.CO,15516.0,CARLb:xcse,CSE,DKK,
GMAB.CO,14400824.0,GMAB:xcse,CSE,DKK,
NVDA,1249.0,NVDA:xnas,NASDAQ,USD,
AAPL,211.0,AAPL:xnas,NASDAQ,USD,
MSFT,261.0,MSFT:xnas,NASDAQ,USD,
AMZN,207.0,AMZN:xnas,NASDAQ,USD,
GOOGL,773599.0,GOOGL:xnas,NASDAQ,USD,
GOOG,790014.0,GOOG:xnas,NASDAQ,USD,
AVGO,9582488.0,AVGO:xnas,NASDAQ,USD,
META,29529022.0,META:xnas,NASDAQ,USD,
TSLA,47556.0,TSLA:xnas,NASDAQ,USD,
MU,42315.0,MU:xnas,NASDAQ,USD,
WMT,54032722.0,WMT:xnas,NASDAQ,USD,
AMD,1422226.0,AMD:xnas,NASDAQ,USD,
ASML,22881.0,ASML:xnas,NASDAQ,USD,
CSCO,226.0,CSCO:xnas,NASDAQ,USD,
INTC,247.0,INTC:xnas,NASDAQ,USD,
COST,235.0,COST:xnas,NASDAQ,USD,
AMAT,212.0,AMAT:xnas,NASDAQ,USD,
NFLX,8292.0,NFLX:xnas,NASDAQ,USD,
SAP.DE,1126.0,SAPG:xetr,FSE,USD,
SIE.DE,117646.0,SIE:xetr,FSE,EUR,
ALV.DE,117276.0,ALV:xetr,FSE,CAD,
AIR.DE,590850.0,AIR:xpar,PAR,EUR,
VOW3.DE,26243.0,VOW3:xetr,FSE,EUR,
IFX.DE,117604.0,IFX:xetr,FSE,EUR,
DBK.DE,117637.0,DBK:xetr,FSE,EUR,
MBG.DE,27226462.0,MBG:xetr,FSE,EUR,
BMW.DE,117271.0,BMW:xetr,FSE,EUR,
BAS.DE,47945.0,BAS:xetr,FSE,EUR,
ADS.DE,117605.0,ADS:xetr,FSE,AUD,
DTE.DE,117622.0,DTE:xetr,FSE,EUR,
MUV2.DE,117540.0,MUV2:xetr,FSE,EUR,
BAYN.DE,39731.0,BAYN:xetr,FSE,EUR,
RHM.DE,16135.0,RHMG:xetr,FSE,EUR,
LLOY.L,861.0,LLOY:xlon,LSE_SETS,GBP,
NWG.L,18459081.0,NWG:xlon,LSE_SETS,GBP,
BP.L,821.0,BP:xlon,LSE_SETS,GBP,
VOD.L,899.0,VOD:xlon,LSE_SETS,GBP,
BARC.L,814.0,BARC:xlon,LSE_SETS,GBP,
GLEN.L,52643.0,GLEN:xlon,LSE_SETS,GBP,
RTO.L,875.0,RTO:xlon,LSE_SETS,GBP,
HSBA.L,852.0,HSBA:xlon,LSE_SETS,GBP,
SBRY.L,884.0,SBRY:xlon,LSE_SETS,GBP,
IAG.L,50367.0,IAG:xlon,LSE_SETS,EUR,
MC.PA,112813.0,MC:xpar,PAR,EUR,
TTE.PA,23255427.0,TTE:xpar,PAR,EUR,
SAN.PA,114879.0,SAN:xpar,PAR,EUR,
OR.PA,112811.0,OR:xpar,PAR,EUR,
AI.PA,111921.0,AI:xpar,PAR,EUR,
SU.PA,114880.0,SU:xpar,PAR,EUR,
BNP.PA,112806.0,BNP:xpar,PAR,EUR,
CS.PA,112805.0,CS:xpar,PAR,EUR,
DG.PA,7853.0,DG:xpar,PAR,EUR,
BN.PA,112809.0,BN:xpar,PAR,EUR,
ASML.AS,1636.0,ASML:xams,AMS,EUR,
INGA.AS,3066.0,ING:xams,AMS,EUR,
UNA.AS,14231761.0,UNA:xams,AMS,EUR,
HEIA.AS,111720.0,HEIA:xams,AMS,EUR,
PHIA.AS,111721.0,PHIA:xams,AMS,EUR,
AD.AS,4641426.0,AD:xams,AMS,EUR,
ADYEN.AS,9894784.0,ADYEN:xams,AMS,EUR,
PRX.AS,14838059.0,PRX:xams,AMS,EUR,
NESN.SW,16787.0,NESN:xvtx,VX,CHF,
NOVN.SW,16786.0,NOVN:xvtx,VX,CHF,
ROG.SW,56336020.0,ROP:xswx,VX,USD,
UBSG.SW,1335299.0,UBSG:xvtx,VX,CHF,
ZURN.SW,12678.0,ZURN:xvtx,VX,CHF,
CFR.SW,12817.0,CFR:xvtx,VX,CHF,
ABBN.SW,12857.0,ABBN:xvtx,VX,CHF,
SCMN.SW,12701.0,SCMN:xvtx,VX,CHF,
RY.TO,35893.0,RY:xtse,TSE,USD,
TD.TO,35916.0,TD:xtse,TSE,CAD,
ENB.TO,35758.0,ENB:xtse,TSE,USD,
CNQ.TO,35731.0,CNQ:xtse,TSE,CAD,
BNS.TO,35711.0,BNS:xtse,TSE,CAD,
SU.TO,35907.0,SU:xtse,TSE,USD,
CP.TO,35735.0,CP:xtse,TSE,CAD,
BN.TO,32799242.0,BN:xtse,TSE,EUR,
7203.T,,,,,yes - not found
6758.T,,,,,yes - not found
8306.T,,,,,yes - not found
9984.T,,,,,yes - not found
6861.T,,,,,yes - not found
7974.T,,,,,yes - not found
9983.T,,,,,yes - not found
8035.T,,,,,yes - not found
ORCL,421353,ORCL:xnys,NYSE,USD,
ADBE,205,ADBE:xnas,NASDAQ,USD,
CRM,9208,CRM:xnys,NYSE,USD,
NOW,204300,NOW:xnys,NYSE,USD,
INTU,248,INTU:xnas,NASDAQ,USD,
ACN,8934,ACN:xnys,NYSE,USD,
IBM,317,IBM:xnys,NYSE,USD,
PANW,25592892,PANW:xnas,NASDAQ,USD,
SNPS,290,SNPS:xnas,NASDAQ,USD,
TXN,117451,TXN:xnas,NASDAQ,USD,
ADI,156498,ADI:xnas,NASDAQ,USD,
KLAC,251,KLAC:xnas,NASDAQ,USD,
LRCX,3793,LRCX:xnas,NASDAQ,USD,
DIS,308,DIS:xnys,NYSE,USD,
HD,315,HD:xnys,NYSE,USD,
MCD,320,MCD:xnys,NYSE,USD,
NKE,593,NKE:xnys,NYSE,USD,
BKNG,9125295,BKNG:xnas,NASDAQ,USD,
TJX,696,TJX:xnys,NYSE,USD,
SBUX,288,SBUX:xnas,NASDAQ,USD,
LOW,555,LOW:xnys,NYSE,USD,
TGT,682,TGT:xnys,NYSE,USD,
ORLY,7228,ORLY:xnas,NASDAQ,USD,
AZO,367,AZO:xnys,NYSE,USD,
ROST,3822,ROST:xnas,NASDAQ,USD,
CMG,26341,CMG:xnys,NYSE,USD,
PG,325,PG:xnys,NYSE,USD,
KO,307,KO:xnys,NYSE,USD,
PEP,8558675,PEP:xnas,NASDAQ,USD,
CL,421,CL:xnys,NYSE,USD,
MDLZ,264027,MDLZ:xnas,NASDAQ,USD,
GIS,497,GIS:xnys,NYSE,USD,
KMB,49919991,KMB:xnas,NASDAQ,USD,
SYY,680,SYY:xnys,NYSE,USD,
JPM,323,JPM:xnys,NYSE,USD,
V,32022,V:xnys,NYSE,USD,
MA,21808,MA:xnys,NYSE,USD,
BAC,375,BAC:xnys,NYSE,USD,
GS,1255,GS:xnys,NYSE,USD,
MS,20013,MS:xnys,NYSE,USD,
BLK,23661,BLK:xnys,NYSE,USD,
AXP,302,AXP:xnys,NYSE,USD,
SPGI,4045064,SPGI:xnys,NYSE,USD,
CB,3336836,CB:xnys,NYSE,USD,
WFC,733,WFC:xnys,NYSE,USD,
SCHW,44830,SCHW:xnys,NYSE,USD,
MCO,580,MCO:xnys,NYSE,USD,
ICE,21315,ICE:xnys,NYSE,USD,
CME,33640,CME:xnas,NASDAQ,USD,
LLY,466,LLY:xnys,NYSE,USD,
UNH,712,UNH:xnys,NYSE,USD,
JNJ,319,JNJ:xnys,NYSE,USD,
